Name,Position,Salary,Team,Kickoff
Jake Haener,QB,4100.00,NO,Sun 1:00PM
Bailey Zappe,QB,4000.00,CLE,Sun 1:00PM
Desmond Ridder,QB,4800.00,LV,Sun 1:00PM
Tommy DeVito,QB,4200.00,NYG,Sun 1:00PM
Aidan O'Connell,QB,4800.00,LV,Sun 1:00PM
Sean Clifford,QB,4000.00,GB,Thu 8:15PM
Stetson Bennett,QB,4000.00,LAR,Sun 4:25PM
Jack Plummer,QB,4000.00,CAR,Sun 1:00PM
Michael Penix Jr.,QB,4500.00,ATL,Sun 1:00PM
Adrian Martinez,QB,4000.00,NYJ,Sun 1:00PM
Clayton Tune,QB,4000.00,ARI,Sun 4:05PM
Justin Fields,QB,4900.00,PIT,Sun 1:00PM
Trevor Lawrence,QB,5500.00,JAC,Sun 1:00PM
Will Levis,QB,5000.00,TEN,Sun 1:00PM
Jordan Travis,QB,4000.00,NYJ,Sun 1:00PM
Brock Purdy,QB,6200.00,SF,Sun 4:25PM
Austin Reed,QB,4000.00,CHI,Sun 4:25PM
Tanner McKee,QB,4000.00,PHI,Sun 1:00PM
Tanner Mordecai,QB,4000.00,SF,Sun 4:25PM
Carter Bradley,QB,4000.00,LV,Sun 1:00PM
Dorian Thompson-Robinson,QB,4000.00,CLE,Sun 1:00PM
Trey Lance,QB,4400.00,DAL,Mon 8:15PM
Jaren Hall,QB,4000.00,SEA,Sun 4:05PM
Sam Howell,QB,4200.00,SEA,Sun 4:05PM
Spencer Rattler,QB,4000.00,NO,Sun 1:00PM
John Rhys Plumlee,QB,4000.00,SEA,Sun 4:05PM
Bryce Young,QB,5200.00,CAR,Sun 1:00PM
Michael Pratt,QB,4000.00,TB,Sun 1:00PM
Caleb Williams,QB,5600.00,CHI,Sun 4:25PM
J.J. McCarthy,QB,4000.00,MIN,Sun 1:00PM
Tyson Bagent,QB,4000.00,CHI,Sun 4:25PM
Aaron Rodgers,QB,5300.00,NYJ,Sun 1:00PM
Andy Dalton,QB,4700.00,CAR,Sun 1:00PM
Matthew Stafford,QB,5700.00,LAR,Sun 4:25PM
Tyrod Taylor,QB,4800.00,NYJ,Sun 1:00PM
Russell Wilson,QB,5900.00,PIT,Sun 1:00PM
Kirk Cousins,QB,5500.00,ATL,Sun 1:00PM
Derek Carr,QB,5100.00,NO,Sun 1:00PM
Geno Smith,QB,5800.00,SEA,Sun 4:05PM
Trevor Siemian,QB,4000.00,TEN,Sun 1:00PM
Jimmy Garoppolo,QB,4200.00,LAR,Sun 4:25PM
Dak Prescott,QB,4000.00,DAL,Mon 8:15PM
Taylor Heinicke,QB,4000.00,LAC,Sun 8:20PM
Brandon Allen,QB,4200.00,SF,Sun 4:25PM
Carson Wentz,QB,4300.00,KC,Sun 8:20PM
Nathan Peterman,QB,4000.00,ATL,Sun 1:00PM
Jameis Winston,QB,5400.00,CLE,Sun 1:00PM
C.J. Beathard,QB,4000.00,JAC,Sun 1:00PM
Cooper Rush,QB,4900.00,DAL,Mon 8:15PM
Jared Goff,QB,6500.00,DET,Thu 8:15PM
Mitchell Trubisky,QB,4100.00,BUF,Sun 4:25PM
Logan Woodside,QB,4000.00,CIN,Mon 8:15PM
Joshua Dobbs,QB,4200.00,SF,Sun 4:25PM
Tim Boyle,QB,4000.00,NYG,Sun 1:00PM
Mike White,QB,4000.00,BUF,Sun 4:25PM
Baker Mayfield,QB,6400.00,TB,Sun 1:00PM
Nick Mullens,QB,4000.00,MIN,Sun 1:00PM
Will Grier,QB,4000.00,DAL,Mon 8:15PM
Kyle Allen,QB,4000.00,PIT,Sun 1:00PM
Mason Rudolph,QB,4500.00,TEN,Sun 1:00PM
Deshaun Watson,QB,4000.00,CLE,Sun 1:00PM
Easton Stick,QB,4000.00,LAC,Sun 8:20PM
Patrick Mahomes II,QB,6800.00,KC,Sun 8:20PM
Jake Browning,QB,4300.00,CIN,Mon 8:15PM
Brett Rypien,QB,4000.00,MIN,Sun 1:00PM
Gardner Minshew II,QB,4000.00,LV,Sun 1:00PM
Josh Allen,QB,8000.00,BUF,Sun 4:25PM
Joe Burrow,QB,7300.00,CIN,Mon 8:15PM
Kyler Murray,QB,6000.00,ARI,Sun 4:05PM
Daniel Jones,QB,4600.00,MIN,Sun 1:00PM
Sam Darnold,QB,6100.00,MIN,Sun 1:00PM
Drew Lock,QB,4700.00,NYG,Sun 1:00PM
Kyle Trask,QB,4400.00,TB,Sun 1:00PM
Justin Herbert,QB,5800.00,LAC,Sun 8:20PM
Anthony Brown Jr.,QB,4000.00,ARI,Sun 4:05PM
Shane Buechele,QB,4000.00,BUF,Sun 4:25PM
Jordan Love,QB,6300.00,GB,Thu 8:15PM
Tyler Huntley,QB,4000.00,MIA,Sun 1:00PM
Jalen Hurts,QB,7800.00,PHI,Sun 1:00PM
Skylar Thompson,QB,4000.00,MIA,Sun 1:00PM
Chris Oladokun,QB,4000.00,KC,Sun 8:20PM
Mac Jones,QB,5000.00,JAC,Sun 1:00PM
Tua Tagovailoa,QB,6300.00,MIA,Sun 1:00PM
Jake Fromm,QB,4000.00,DET,Thu 8:15PM
Malik Willis,QB,4000.00,GB,Thu 8:15PM
Kenny Pickett,QB,4000.00,PHI,Sun 1:00PM
Hendon Hooker,QB,4000.00,DET,Thu 8:15PM
Pierre Strong Jr.,RB,4000.00,CLE,Sun 1:00PM
Elijah Mitchell,RB,4000.00,SF,Sun 4:25PM
Aaron Shampklin,RB,4000.00,PIT,Sun 1:00PM
Carlos Washington Jr.,RB,4000.00,ATL,Sun 1:00PM
Ty Chandler,RB,4000.00,MIN,Sun 1:00PM
AJ Dillon,RB,4000.00,GB,Thu 8:15PM
Jacob Kibodi,RB,4000.00,NO,Sun 1:00PM
Chuba Hubbard,RB,6200.00,CAR,Sun 1:00PM
Xazavian Valladay,RB,4000.00,NO,Sun 1:00PM
Zavier Scott,RB,4000.00,MIN,Sun 1:00PM
Raheem Blackshear,RB,4000.00,CAR,Sun 1:00PM
Gary Brightwell,RB,4000.00,CIN,Mon 8:15PM
D'Andre Swift,RB,5700.00,CHI,Sun 4:25PM
Isiah Pacheco,RB,6100.00,KC,Sun 8:20PM
Jaret Patterson,RB,4000.00,LAC,Sun 8:20PM
Tyrone Tracy Jr.,RB,5800.00,NYG,Sun 1:00PM
Zamir White,RB,4200.00,LV,Sun 1:00PM
Jordan Mason,RB,6900.00,SF,Sun 4:25PM
Emari Demercado,RB,4000.00,ARI,Sun 4:05PM
Dante Miller,RB,4000.00,NYG,Sun 1:00PM
Dylan Laube,RB,4000.00,LV,Sun 1:00PM
Chase Brown,RB,6700.00,CIN,Mon 8:15PM
Jerome Ford,RB,4900.00,CLE,Sun 1:00PM
Julius Chestnut,RB,4000.00,TEN,Sun 1:00PM
Keaontay Ingram,RB,4000.00,KC,Sun 8:20PM
Isaac Guerendo,RB,5400.00,SF,Sun 4:25PM
Chris Brooks,RB,4000.00,GB,Thu 8:15PM
Jermar Jefferson,RB,4000.00,DET,Thu 8:15PM
Jashaun Corbin,RB,4000.00,NYG,Sun 1:00PM
Deneric Prince,RB,4000.00,MIA,Sun 1:00PM
Hassan Haskins,RB,4300.00,LAC,Sun 8:20PM
Kenneth Gainwell,RB,5000.00,PHI,Sun 1:00PM
Hunter Luepke,RB,4000.00,DAL,Mon 8:15PM
James Cook,RB,7400.00,BUF,Sun 4:25PM
Tyler Allgeier,RB,4500.00,ATL,Sun 1:00PM
Cody Schrader,RB,4000.00,LAR,Sun 4:25PM
Tyrion Davis-Price,RB,4000.00,PHI,Sun 1:00PM
Eric Gray,RB,4000.00,NYG,Sun 1:00PM
D.J. Williams,RB,4000.00,TB,Sun 1:00PM
Breece Hall,RB,7000.00,NYJ,Sun 1:00PM
Roschon Johnson,RB,4300.00,CHI,Sun 4:25PM
Zonovan Knight,RB,4000.00,NYJ,Sun 1:00PM
Kenneth Walker III,RB,6800.00,SEA,Sun 4:05PM
Zach Charbonnet,RB,4800.00,SEA,Sun 4:05PM
Ray Davis,RB,5200.00,BUF,Sun 4:25PM
Sincere McCormick,RB,4600.00,LV,Sun 1:00PM
Craig Reynolds,RB,4000.00,DET,Thu 8:15PM
Kyren Williams,RB,7300.00,LAR,Sun 4:25PM
Tyjae Spears,RB,4400.00,TEN,Sun 1:00PM
Kenny McIntosh,RB,4000.00,SEA,Sun 4:05PM
Keilan Robinson,RB,4000.00,JAC,Sun 1:00PM
Ian Wheeler,RB,4000.00,CHI,Sun 4:25PM
Jaylen Warren,RB,5500.00,PIT,Sun 1:00PM
George Holani,RB,4000.00,SEA,Sun 4:05PM
Jase McClellan,RB,4000.00,ATL,Sun 1:00PM
Kendall Milton,RB,4000.00,CIN,Mon 8:15PM
MarShawn Lloyd,RB,4000.00,GB,Thu 8:15PM
Kendre Miller,RB,4000.00,NO,Sun 1:00PM
Jahmyr Gibbs,RB,7100.00,DET,Thu 8:15PM
Israel Abanikanda,RB,4000.00,SF,Sun 4:25PM
Kimani Vidal,RB,4500.00,LAC,Sun 8:20PM
Ellis Merriweather,RB,4000.00,GB,Thu 8:15PM
Tank Bigsby,RB,5100.00,JAC,Sun 1:00PM
Chris Collier,RB,4000.00,LV,Sun 1:00PM
Bijan Robinson,RB,7500.00,ATL,Sun 1:00PM
Sean Tucker,RB,4300.00,TB,Sun 1:00PM
Deuce Vaughn,RB,4000.00,DAL,Mon 8:15PM
Rachaad White,RB,5300.00,TB,Sun 1:00PM
Blake Corum,RB,4200.00,LAR,Sun 4:25PM
Dillon Johnson,RB,4000.00,CAR,Sun 1:00PM
De'Von Achane,RB,8200.00,MIA,Sun 1:00PM
Jabari Small,RB,4000.00,TEN,Sun 1:00PM
Frank Gore Jr.,RB,4000.00,BUF,Sun 4:25PM
Trey Benson,RB,4500.00,ARI,Sun 4:05PM
Isaiah Davis,RB,4000.00,NYJ,Sun 1:00PM
Jaylen Wright,RB,4000.00,MIA,Sun 1:00PM
Will Shipley,RB,4000.00,PHI,Sun 1:00PM
Bucky Irving,RB,6600.00,TB,Sun 1:00PM
Carson Steele,RB,4000.00,KC,Sun 8:20PM
Braelon Allen,RB,5000.00,NYJ,Sun 1:00PM
Jonathon Brooks,RB,4700.00,CAR,Sun 1:00PM
Sione Vaki,RB,4000.00,DET,Thu 8:15PM
Emanuel Wilson,RB,4100.00,GB,Thu 8:15PM
Kyle Juszczyk,RB,4000.00,SF,Sun 4:25PM
Ameer Abdullah,RB,4700.00,LV,Sun 1:00PM
Raheem Mostert,RB,4900.00,MIA,Sun 1:00PM
Cordarrelle Patterson,RB,4100.00,PIT,Sun 1:00PM
Jamaal Williams,RB,4400.00,NO,Sun 1:00PM
Ezekiel Elliott,RB,4200.00,DAL,Mon 8:15PM
Gus Edwards,RB,5300.00,LAC,Sun 8:20PM
Aaron Jones Sr.,RB,6500.00,MIN,Sun 1:00PM
James Conner,RB,6700.00,ARI,Sun 4:05PM
Kareem Hunt,RB,5500.00,KC,Sun 8:20PM
Alvin Kamara,RB,8000.00,NO,Sun 1:00PM
Samaje Perine,RB,4000.00,KC,Sun 8:20PM
Nick Chubb,RB,5900.00,CLE,Sun 1:00PM
Dalvin Cook,RB,4000.00,DAL,Mon 8:15PM
Christian McCaffrey,RB,7900.00,SF,Sun 4:25PM
Chase Edmonds,RB,4000.00,TB,Sun 1:00PM
Jeff Wilson Jr.,RB,4000.00,MIA,Sun 1:00PM
D'Onta Foreman,RB,4000.00,CLE,Sun 1:00PM
D'Ernest Johnson,RB,4000.00,JAC,Sun 1:00PM
Mike Boone,RB,4000.00,CAR,Sun 1:00PM
Myles Gaskin,RB,4000.00,MIN,Sun 1:00PM
Ty Johnson,RB,4100.00,BUF,Sun 4:25PM
Ke'Shawn Vaughn,RB,4000.00,SF,Sun 4:25PM
Joshua Kelley,RB,4000.00,TEN,Sun 1:00PM
John Kelly Jr.,RB,4000.00,LAC,Sun 8:20PM
Nyheim Hines,RB,4000.00,CLE,Sun 1:00PM
Alec Ingold,RB,4000.00,MIA,Sun 1:00PM
Tony Pollard,RB,6400.00,TEN,Sun 1:00PM
Saquon Barkley,RB,9000.00,PHI,Sun 1:00PM
Adam Prentice,RB,4000.00,NO,Sun 1:00PM
Trayveon Williams,RB,4000.00,CIN,Mon 8:15PM
Jonathan Ward,RB,4000.00,PIT,Sun 1:00PM
Zack Moss,RB,4000.00,CIN,Mon 8:15PM
Demetric Felton Jr.,RB,4000.00,CHI,Sun 4:25PM
Darrynton Evans,RB,4000.00,CHI,Sun 4:25PM
Reggie Gilliam,RB,4000.00,BUF,Sun 4:25PM
C.J. Ham,RB,4000.00,MIN,Sun 1:00PM
Devin Singletary,RB,4800.00,NYG,Sun 1:00PM
Travis Homer,RB,4000.00,CHI,Sun 4:25PM
Miles Sanders,RB,4000.00,CAR,Sun 1:00PM
Rico Dowdle,RB,6000.00,DAL,Mon 8:15PM
Khalil Herbert,RB,4000.00,CIN,Mon 8:15PM
Patrick Taylor Jr.,RB,4000.00,SF,Sun 4:25PM
Alexander Mattison,RB,5100.00,LV,Sun 1:00PM
Avery Williams,RB,4000.00,ATL,Sun 1:00PM
Josh Jacobs,RB,7200.00,GB,Thu 8:15PM
Chris Evans,RB,4000.00,CIN,Mon 8:15PM
David Montgomery,RB,6800.00,DET,Thu 8:15PM
Kene Nwangwu,RB,4000.00,NYJ,Sun 1:00PM
Najee Harris,RB,6000.00,PIT,Sun 1:00PM
Malik Davis,RB,4000.00,DAL,Mon 8:15PM
Cam Akers,RB,4600.00,MIN,Sun 1:00PM
Robert Burns,RB,4000.00,ATL,Sun 1:00PM
DeeJay Dallas,RB,4000.00,ARI,Sun 4:05PM
Michael Carter,RB,4000.00,ARI,Sun 4:05PM
J.K. Dobbins,RB,4000.00,LAC,Sun 8:20PM
Clyde Edwards-Helaire,RB,4000.00,KC,Sun 8:20PM
Jordan Mims,RB,4000.00,NO,Sun 1:00PM
Ronnie Rivers,RB,4000.00,LAR,Sun 4:25PM
Travis Etienne Jr.,RB,5600.00,JAC,Sun 1:00PM
David Moore,WR,4000.00,CAR,Sun 1:00PM
Tarik Black,WR,3000.00,MIA,Sun 1:00PM
Donovan Peoples-Jones,WR,3000.00,DET,Thu 8:15PM
Colton Dowell,WR,3000.00,TEN,Sun 1:00PM
Jaelon Darden,WR,3000.00,CLE,Sun 1:00PM
Austin Trammell,WR,3000.00,JAC,Sun 1:00PM
Tim Jones,WR,3200.00,JAC,Sun 1:00PM
Cody White,WR,3000.00,SEA,Sun 4:05PM
Dennis Houston,WR,3000.00,TB,Sun 1:00PM
Julian Hicks,WR,3000.00,GB,Thu 8:15PM
Brandon Smith,WR,3000.00,NYJ,Sun 1:00PM
Ihmir Smith-Marsette,WR,3000.00,NYG,Sun 1:00PM
Joshua Palmer,WR,4000.00,LAC,Sun 8:20PM
DeVonta Smith,WR,5800.00,PHI,Sun 1:00PM
Thayer Thomas,WR,3000.00,MIN,Sun 1:00PM
Montrell Washington,WR,3000.00,KC,Sun 8:20PM
Laviska Shenault Jr.,WR,3000.00,SEA,Sun 4:05PM
CeeDee Lamb,WR,7300.00,DAL,Mon 8:15PM
Calvin Austin III,WR,3300.00,PIT,Sun 1:00PM
Tay Martin,WR,3000.00,TEN,Sun 1:00PM
Jalen Tolbert,WR,3700.00,DAL,Mon 8:15PM
Charlie Jones,WR,3000.00,CIN,Mon 8:15PM
Christian Watson,WR,5100.00,GB,Thu 8:15PM
Bo Melton,WR,3100.00,GB,Thu 8:15PM
Justin Jefferson,WR,7800.00,MIN,Sun 1:00PM
Jeshaun Jones,WR,3000.00,MIN,Sun 1:00PM
Tutu Atwell,WR,3400.00,LAR,Sun 4:25PM
Michael Woods II,WR,3000.00,CLE,Sun 1:00PM
Brandon Aiyuk,WR,3000.00,SF,Sun 4:25PM
Dylan Drummond,WR,3000.00,ATL,Sun 1:00PM
Terrace Marshall Jr.,WR,3000.00,LV,Sun 1:00PM
Ja'Marr Chase,WR,8500.00,CIN,Mon 8:15PM
Tyquan Thornton,WR,3000.00,KC,Sun 8:20PM
Kearis Jackson,WR,3000.00,NYG,Sun 1:00PM
Justyn Ross,WR,3000.00,KC,Sun 8:20PM
Bryce Oliver,WR,3000.00,TEN,Sun 1:00PM
Derius Davis,WR,3000.00,LAC,Sun 8:20PM
Tanner Knue,WR,3000.00,TB,Sun 1:00PM
Ryan Miller,WR,3000.00,TB,Sun 1:00PM
Chris Blair,WR,3000.00,ATL,Sun 1:00PM
Sam Pinckney,WR,3000.00,CAR,Sun 1:00PM
Seth Williams,WR,3000.00,DAL,Mon 8:15PM
Erik Ezukanma,WR,3000.00,MIA,Sun 1:00PM
Bryce Ford-Wheaton,WR,3000.00,NYG,Sun 1:00PM
Jake Bobo,WR,3000.00,SEA,Sun 4:05PM
Marcus Riley,WR,3000.00,NYJ,Sun 1:00PM
Jahan Dotson,WR,3500.00,PHI,Sun 1:00PM
Chris Olave,WR,5500.00,NO,Sun 1:00PM
Romeo Doubs,WR,4600.00,GB,Thu 8:15PM
Jayden Reed,WR,6200.00,GB,Thu 8:15PM
Simi Fehoko,WR,3000.00,LAC,Sun 8:20PM
Michael Wilson,WR,4100.00,ARI,Sun 4:05PM
Cedric Tillman,WR,5100.00,CLE,Sun 1:00PM
Andrei Iosivas,WR,3900.00,CIN,Mon 8:15PM
Drake Stoops,WR,3000.00,LAR,Sun 4:25PM
Jaylen Waddle,WR,5400.00,MIA,Sun 1:00PM
Jalen Nailor,WR,3400.00,MIN,Sun 1:00PM
Nikko Remigio,WR,3000.00,KC,Sun 8:20PM
Amon-Ra St. Brown,WR,7600.00,DET,Thu 8:15PM
Kyle Philips,WR,3000.00,PHI,Sun 1:00PM
Antoine Green,WR,3000.00,DET,Thu 8:15PM
Elijah Moore,WR,4800.00,CLE,Sun 1:00PM
Anthony Schwartz,WR,3000.00,MIA,Sun 1:00PM
Ronnie Bell,WR,3000.00,SF,Sun 4:25PM
Rondale Moore,WR,3000.00,ATL,Sun 1:00PM
Kevin Austin Jr.,WR,3300.00,NO,Sun 1:00PM
Khalil Shakir,WR,5900.00,BUF,Sun 4:25PM
Deven Thompkins,WR,3000.00,CAR,Sun 1:00PM
Jaylen Johnson,WR,3000.00,LAC,Sun 8:20PM
Dax Milne,WR,3000.00,CAR,Sun 1:00PM
Jesse Matthews,WR,3000.00,ATL,Sun 1:00PM
Xavier Smith,WR,3000.00,LAR,Sun 4:25PM
Ricky Pearsall,WR,4500.00,SF,Sun 4:25PM
Trey Palmer,WR,3400.00,TB,Sun 1:00PM
Ramel Keyton,WR,3000.00,LV,Sun 1:00PM
John Jackson III,WR,3000.00,CHI,Sun 4:25PM
Puka Nacua,WR,7700.00,LAR,Sun 4:25PM
Jordan Whittington,WR,3000.00,LAR,Sun 4:25PM
Wan'Dale Robinson,WR,4800.00,NYG,Sun 1:00PM
Garrett Wilson,WR,6600.00,NYJ,Sun 1:00PM
Tre Tucker,WR,4600.00,LV,Sun 1:00PM
Malik Taylor,WR,3000.00,NYJ,Sun 1:00PM
Jeff Foreman,WR,3000.00,LV,Sun 1:00PM
Gunner Olszewski,WR,3000.00,NYG,Sun 1:00PM
Jha'Quan Jackson,WR,3000.00,TEN,Sun 1:00PM
Jalen Cropper,WR,3000.00,DAL,Mon 8:15PM
Treylon Burks,WR,3000.00,TEN,Sun 1:00PM
George Pickens,WR,6800.00,PIT,Sun 1:00PM
Bub Means,WR,3000.00,NO,Sun 1:00PM
Dontayvion Wicks,WR,4300.00,GB,Thu 8:15PM
Tahj Washington,WR,3000.00,MIA,Sun 1:00PM
Malik Washington,WR,3000.00,MIA,Sun 1:00PM
Terique Owens,WR,3000.00,SF,Sun 4:25PM
Rashee Rice,WR,3000.00,KC,Sun 8:20PM
Jameson Williams,WR,5900.00,DET,Thu 8:15PM
Casey Washington,WR,3000.00,ATL,Sun 1:00PM
